               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.019134,             0.02727,           0.0027385,             0.91577,             0.86876,             0.90347,             0.62002,            0.025182,           0.0083871,            0.002065,            0.001585,            0.001585,            0.001585
                  87,            0.018709,            0.027833,           0.0023321,             0.89349,             0.87238,             0.91457,             0.62481,            0.025268,           0.0081644,           0.0018969,            0.001486,            0.001486,            0.001486
                  88,            0.018592,            0.026663,           0.0023927,             0.91664,             0.85606,             0.91787,             0.62894,            0.024697,           0.0080044,           0.0021773,            0.001387,            0.001387,            0.001387
                  89,            0.018935,            0.027458,           0.0025333,             0.92727,             0.86255,             0.92234,             0.63394,            0.025246,           0.0081786,           0.0019747,            0.001288,            0.001288,            0.001288
                  90,            0.018701,            0.027601,           0.0024906,              0.9062,             0.87178,             0.91606,             0.63019,            0.024636,            0.008244,           0.0019236,            0.001189,            0.001189,            0.001189
                  91,            0.018647,             0.02678,           0.0035122,              0.8824,             0.87281,             0.90695,             0.62534,            0.024897,           0.0081935,           0.0018548,             0.00109,             0.00109,             0.00109
                  92,            0.018777,            0.027904,           0.0023681,              0.8764,             0.89876,             0.91307,             0.62443,            0.024477,           0.0082388,           0.0018452,            0.000991,            0.000991,            0.000991
                  93,            0.017664,            0.024979,           0.0026712,             0.89466,             0.86712,             0.91071,             0.61872,             0.02501,           0.0083028,           0.0019252,            0.000892,            0.000892,            0.000892
                  94,            0.018512,             0.02635,           0.0033952,              0.8683,             0.87518,             0.90117,             0.61522,            0.024727,           0.0082916,           0.0018843,            0.000793,            0.000793,            0.000793
                  95,             0.01829,            0.025789,            0.002756,             0.86807,             0.86193,             0.89289,             0.60708,            0.024894,           0.0082073,           0.0019888,            0.000694,            0.000694,            0.000694
                  96,               0.018,              0.0267,           0.0021349,             0.90718,             0.85942,             0.90902,             0.62581,            0.024648,           0.0081067,           0.0020705,            0.000595,            0.000595,            0.000595
                  97,            0.017542,            0.026903,           0.0024454,             0.93236,             0.86106,             0.92088,             0.63323,            0.024731,           0.0081094,           0.0018535,            0.000496,            0.000496,            0.000496
                  98,            0.017959,            0.026243,           0.0022855,             0.93469,             0.83315,             0.91141,             0.62716,             0.02488,           0.0080933,           0.0020612,            0.000397,            0.000397,            0.000397
                  99,            0.017573,            0.025638,           0.0023255,             0.91996,             0.84116,             0.91569,             0.62745,            0.024861,           0.0081046,           0.0020738,            0.000298,            0.000298,            0.000298
